title,"Reference type",Citation,"Concluding Remarks",License,ID,UUID,"Original Publication","Publication Area","Publication Language","Year of Publication",Abstract,"Access Date","Accession Number","Alternate Title",Author,"Date Published",DOI,"ISBN Number","ISSN Number",Issue,Keywords,Label,License,Notes,Number,"Number of Pages","Number of Volumes","Place Published","Short Title",URL,Volume
"A survey on cybersecurity attacks and defenses for unmanned aerial systems","Journal Article","Wang, Z., Li, Y., Wu, S., Zhou, Y., Yang, L., Xu, Y., … Pan, Q. (2023). A survey on cybersecurity attacks and defenses for unmanned aerial systems. Elsevier BV. https://doi.org/10.1016/j.sysarc.2023.102870 (Original work published)",,,71,502bce15-730b-4c94-82c0-36d05bad4071,,"Cybersecurity and defense",,2023,"In recent years, unmanned aerial systems (UAS) have been widely used in both military and civilian fields. However, their open-source software and protocols have made their security vulnerable, resulting in a growing number of cybersecurity issues. This paper provides a comprehensive review of UAS cybersecurity research, with a focus on attack and defense technologies. Regarding UAS being a system that integrates software and hardware and can work independently with complex tasks, this paper analyzes the UAS architecture and classifies security threats into four categories: communication network security, software security, payload security, and intelligent security. Additionally, it provides an overview of existing threat assessment methods. This paper also highlights representative research progress in UAS cyberattacks and defense technologies in the four identified categories. Finally, this paper examines the current research status and future prospects of UAS cybersecurity.",,,,"Zhaoxuan Wang, Yang Li, Shihao Wu, Yuan Zhou, Libin Yang, Yuan Xu, Tianwei Zhang, Quan Pan",2023-05,10.1016/j.sysarc.2023.102870,,1383-7621,,,,,"In this paper, we first introduce the classification and architecture of UAS. Then We systematically analyze the security threats and summarize a systematic approach to vulnerability assessment from the perspective of UAS architecture. Based on security analysis, we detail the attack and defense research from four aspects of communication network security, software security, payload security, and intelligent security.",,,,,,https://www.sciencedirect.com/science/article/pii/S1383762123000498,
"Cyber teaming and role specialization in a cyber security defense competition","Journal Article","Buchler, N., La Fleur, C. G., Hoffman, B., Rajivan, P., Marusich, L., & Lightner, L. (2018). Cyber teaming and role specialization in a cyber security defense competition. Frontiers Media SA. https://doi.org/10.3389/fpsyg.2018.02133 (Original work published)",,,72,bc207cff-b8bc-4079-a1b1-ed554edfa53b,,"Cybersecurity and defense",,2018,"A critical requirement for developing a cyber capable workforce is to understand how to challenge, assess, and rapidly develop human cyber skill-sets in realistic cyber operational environments. Fortunately, cyber team competitions make use of simulated operational environments with scoring criteria of task performance that objectively define overall team effectiveness, thus providing the means and context for observation and analysis of cyber teaming. Such competitions allow researchers to address the key determinants that make a cyber defense team more or less effective in responding to and mitigating cyber attacks. For this purpose, we analyzed data collected at the 12th annual Mid-Atlantic Collegiate Cyber Defense Competition (MACCDC, http://www.maccdc.org/), where eight teams were evaluated along four independent scoring dimensions: maintaining services, incident response, scenario injects, and thwarting adversarial activities. Data collected from the 13-point OAT (Observational Assessment of Teamwork) instrument by embedded observers and a cyber teamwork survey completed by all participants were used to assess teamwork and leadership behaviors and team composition and work processes, respectively. The scores from the competition were used as an outcome measure in our analysis to extract key features of team process, structure, leadership, and skill-sets in relation to effective cyber defense. We used Bayesian regression to relate scored performance during the competition to team skill composition, team experience level, and an observational construct of team collaboration. Our results indicate that effective collaboration, experience, and functional role-specialization within the teams are important factors that determine the success of these teams in the competition and are important observational predictors of the timely detection and effective mitigation of ongoing cyber attacks. These results support theories of team maturation and the development of functional team cognition applied to mastering cybersecurity.",,,,"Norbou Buchler, Claire Genevieve La Fleur, Blaine Hoffman, Prashanth Rajivan, Laura Marusich, Lewis Lightner",2018-11-19,10.3389/fpsyg.2018.02133,,1664-1078,,,,,"Our results are in line with theories of team formation/maturation (Tuckman, 1965) and extend our previous work (Buchler et al., 2018) by demonstrating that more competitive experience and team functional role specialization are strongly associated with successful performance in cyber-defense competitions. This work highlights the need to evaluate team level factors and the team members' characteristics when predicting whether a mission will be successful. It also demonstrates that the benefits of a particular team-level skill composition are dependent on the type of task the team will need to complete. A key objective of future work is to evaluate whether these results replicate at other events in laboratory based simulation studies and to determine the team skill profiles that are ideal for other cyber defense tasks.",,,,,,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2018.02133/full,
"Team performance in a series of regional and national US cybersecurity defense competitions: Generalizable effects of training and functional role specialization","Journal Article","La Fleur, C., Hoffman, B., Gibson, C. B., & Buchler, N. (2021). Team performance in a series of regional and national US cybersecurity defense competitions: Generalizable effects of training and functional role specialization. Elsevier BV. https://doi.org/10.1016/j.cose.2021.102229 (Original work published)",,,73,4c973c76-7a3d-461b-ad50-00c293877403,,"Cybersecurity and defense",,2021,"A critical component to any modern cybersecurity endeavor is effective use of its human resources to secure networks, maintain services and mitigate adversarial events. Despite the importance of the human cyber- analyst and operator to cybersecurity, there has not been a corresponding rise in data-driven analytical approaches for understanding, evaluating, and improving the effectiveness of cybersecurity teams as a whole. Fortunately, cyber defense competitions are well-established and provide a critical window into what makes a cybersecurity team more or less effective. We examined data collected at the national finals and four regional events of the Collegiate Cyber Defense Competition and posited that experience, access to simulation-based training, and functional role composition by the teams would predict team performance on four scoring dimensions relevant to the application of information assurance skills and defensive cyber operations: (a) maintaining services, (b) help-desk customer support, (c) handling scenario injects, and (d) mitigating red team attacks. Bayesian analysis highlighted that experience was a strong predictor of service availability, scenario injects, and red team defense. Simulation training was also associated with good performance along these scoring dimensions. High-performing and experienced teams clustered with one another based on the functional role composition of team skills. These results are discussed within the context of stages of team development, the efficacy of challenge-based learning events, and reinforce previous analytical results from cyber competitions.",,,,"Claire La Fleur, Blaine Hoffman, C. Benjamin Gibson, Norbou Buchler",2021-05,10.1016/j.cose.2021.102229,,0167-4048,,,,,"Organizations are increasingly dependent upon teams of cybersecurity professionals to defend their networked resources and services. The objective of our research is to examine what makes a cybersecurity team more or less effective, which is currently not well understood. Overall, our findings are consistent with work on team development (Tuckman, 1965; Kozlowski and Bell, 2003) and our previous work at Collegiate Cyber Defense Competitions (Buchler et al. 2018) by demonstrating that simulation training and functional role specialization are associated with successful performance for many cyber-defense teams across the competitions. In our Bayesian analysis models, these emerged as critical predictors of performance in the team competition. These results clearly demonstrate the value of strategically composed and experienced teams and training pipelines that involve the application of cyber skills as ’hands-on keyboard’ simulation- based exercises (Crichigno et al., 2019).Any attempt to address the problem of data-driven team optimization needs to understand the human information workflows and specific contexts of cybersecurity operations. This requires a mix of high-level qualitative approaches to capture the work context, and low-level data-driven quantitative approaches needed for empirical model building.",,,,,,https://www.sciencedirect.com/science/article/pii/S0167404821000535,
"Private active cyber defense and (international) cyber security—pushing the line?","Journal Article","Broeders, D. (2021). Private active cyber defense and (international) cyber security—pushing the line? Oxford University Press (OUP). https://doi.org/10.1093/cybsec/tyab010 (Original work published)",,,76,56dcce62-941b-473d-9c13-6d0fc03875b6,,"Cybersecurity and defense",,2021,"Private sector Active Cyber Defence (ACD) lies on the intersection of domestic security and international security and is a recurring subject, often under the more provocative flag of ‘hack back’, in the American debate about cyber security. This article looks at the theory and practice of private cyber security provision and analyses in more detail a number of recent reports and publications on ACD by Washington DC based commissions and think tanks. Many of these propose legalizing forms of active cyber defence, in which private cyber security companies would be allowed to operate beyond their own, or their clients’ networks, and push beyond American law as it currently stands",,,,"Dennis Broeders",2021-01-01,10.1093/cybsec/tyab010,,2057-2085,,,,,"Generally, public-private governance solutions for security problems have to manage a balance between (i) questions of capacity and assigning responsibilities, (ii) the political legitimacy of public–private security solutions and (iii) the mitigation of their external effects. The case of private active cyber defence reveals a strong emphasis on addressing the domestic security (and political) problem, while failing to convincingly address the international security problems. The proposals aim to create a legitimate market for active cyber defence, anchored to the state through regulation and certification as a way to balance capacity, responsibilities and domestic political legitimacy. A major problem is that even though these reports anticipate international repercussions and political pushback, against what is likely be received internationally as an escalatory and provocative policy, they offer little to mitigate it.",,,,,,https://academic.oup.com/cybersecurity/article/7/1/tyab010/6199903,
"The Role of Civilian Cybersecurity Companies in Military Cyber Operations","Journal Article","Krasznay, C. (2024). The Role of Civilian Cybersecurity Companies in Military Cyber Operations. Walter de Gruyter GmbH. https://doi.org/10.2478/raft-2024-0001 (Original work published)",,,77,68e6772e-af9b-4560-9594-42b0a6ac7a62,,"Dual-use cybersecurity",,2024,"The Russia-Ukraine war has clearly shown that critical infrastructures are prime targets for cyber operations in addition to the physical domain. In practice, in many cases, these critical infrastructures are protected by civilian cybersecurity companies in the context of a managed security service, so their defense operations must necessarily be coordinated with military defense activities. This includes among others the sharing of information classified under different classification systems (national, EU, NATO) between different actors in national cyber defense, the inclusion of appropriate civilian experts in the armed forces, and the usage of cutting-edge cybersecurity technologies (e.g. AI-enabled solutions) that are first introduced for civilian use, with military organizations only having access to them later or possibly not encountering them at all due to procurement difficulties. The main goal of this paper is to introduce the existing opportunities and obstacles to civilians’ involvement in military cyber operations in the areas of legislation, technology, and human resources from the European perspective. Moreover, the paper deals with the actual questions of cybersecurity intelligence sharing between civilian and military entities and the European Union’s actions in order to improve the overall cybersecurity posture of the region.",,,,"Csaba Krasznay",2024-02-28,10.2478/raft-2024-0001,,2247-840X,,,,,"My hypothesis is backed up by a wealth of research and practical case studies.It is no coincidence that European policy has also recognized the importance of civilian military cooperation. However, as a conclusion to my study, to launch an academic debate and to support the detailed implementation of policy objectives, I would like to identify five key challenges that need to be addressed to enable private actors to cooperate effectively with the military. These are the following: ‒Challenge 1: The cyber defense of critical infrastructures is typically provided by civilian service providers that are not closely linked to military or civilian governmental cyber defense organizations, and therefore in specific situations, such as war, practical cyber defense of these critical infrastructures is not sufficiently effective.  ‒Challenge 2: The majority of the best cybersecurity experts and the civilian companies that employ them have no connection to the military, which means that in a war situation, the protection of national cyberspace and potentially the effectiveness of active operations is not the most effective. ‒Challenge 3: Today’s information technology revolution, e.g. the emergence of artificial intelligence, opens up new perspectives in cyber security, but the application of these technologies in national cyber defense, whether military or civilian, will only become feasible after a longer period in medium-sized countries, which are therefore more exposed to cyber-attacks than other, larger and richer powers.‒Challenge 4: Information sharing on incidents is not only not working smoothly at the European level, but also at the national level, which is an obstacle to more effective national and European cyber defense. ‒Challenge 5: Only a fraction of the potential of bilateral and regional cybersecurity cooperation is exploited, and national cyber capability development typically does not take into account the experience of other countries.",,,,,,https://sciendo.com/article/10.2478/raft-2024-0001,
"Cybersecurity Challenges of the Civilian Unmanned Aircraft Systems","Journal Article","Ináncsi, M. (2022). Cybersecurity Challenges of the Civilian Unmanned Aircraft Systems. Hadmernok. https://doi.org/10.32567/hm.2022.2.14 (Original work published)",,,79,1da7bd38-1a15-41b1-8ace-9499aeebea16,,"Civilian cybersecurity",,2022,"Nowadays unmanned aircrafts are widely available at a reasonable price for civilians. This change in the market raises cybersecurity related concerns. In this paper we are focusing on three aspects of the cybersecurity challenges: data protection element, cyberattack element and general concerns over drones from the Asian market. The first element is extremely important when it comes to ethical and rightful drone use. A drone fitted with a camera or a video recording device can easily violate personal data. The cyberattack element aims to make sure the user understands that their device can be hacked, and not just simply the drone itself but various devices connected to them. Lastly, we are focusing on raising awareness of using drones from the Asian market. These types of products sometimes get into the spotlight due to built-in cyberissues. This part is aimed to raise general awareness over data protection coming from third party device use.",,,,"Mátyás Ináncsi",2022-09-19,10.32567/hm.2022.2.14,,1788-1919,,,,,"In this paper our goal was to highlight the three main elements of cybersecurity and raise awareness about the ongoing concerns and challenges from the user standpoint.One element of this is the data protection layer. Even if the user has a secure device, he/she still must pay close attention to where and how the device is deployed. Because there is a very soft line in the GDPR between not violating privacy and infringing it. The users must also be aware of the privacy limitations of their devices, and the personal data question outlines this and places it in a boundary. Addition-ally, knowing the boundaries of personal data may assist ethical and rightful drone usage. The data protection factor is also discussed by Hankó’s28 publication, where she draws a similar conclusion regarding data protection: the use of civilian drones may easily violate privacy.",,,,,,https://folyoirat.ludovika.hu/index.php/hadmernok/article/view/5966,
"The Cybersecurity Triad: Government, Private Sector Partners, and the Engaged Cybersecurity Citizen","Journal Article","Harknett, R. J., & Stever, J. A. (2009). The Cybersecurity Triad: Government, Private Sector Partners, and the Engaged Cybersecurity Citizen. Walter de Gruyter GmbH. https://doi.org/10.2202/1547-7355.1649 (Original work published)",,,82,bd917173-304f-44ab-8e4c-326f48fc4f9e,,"Civilian cybersecurity",,2009,"In May 2009, the Obama administration released its, Cyberspace Policy Review: Assuring a Trusted and Resilient Information and Communications Infrastructure, which it expected would lay the groundwork for a new national cybersecurity strategy. Staking out separate policy development space, Congressional leaders began hearings and introduced legislation. The most significant – the Cybersecurity Act of 2009 – proposed major changes in current federal government approaches. The common starting point of all of these reform efforts is that current federal organization and current national cybersecurity policy is inadequate for the task of securing cyberspace.This article analyzes past federal reorganization efforts in response to the last technological revolution with serious national security implications – nuclear technology -- and the more recent response to homeland security. While much of the current cybersecurity debate leans toward radical reforming, we counsel an incremental approach to reorganization that builds on the hard work of the last decade combined with a genuine reconceptualization of the threat solution set.",,,,"Richard J. Harknett, James A Stever",2009-01-30,10.2202/1547-7355.1649,,1547-7355,,,,,"Borrowing from the language of the nuclear era, we call for cybersecurity to rest on a balanced triad of intergovernmental relations, private corporate involvement, and active cyber citizenship as a resilient model that can manage this new and challenging security environment. In particular, we introduce the third leg as a critical new concept that has been absent from standard policy debate. The road to cybersecurity is destined to be long, circuitous, and difficult. Extensive negotiations between federal, state, local, and private sector leaders loom. No truly significant federal policy reform can be achieved without considering the intergovernmental policy dimensions combined with the overall threat perception driving those reforms. Success will remain elusive if government to private business relations do not improve and much will be undermined if the general public remains inactive in contributing to national cybersecurity.",,,,,,https://www.degruyter.com/document/doi/10.2202/1547-7355.1649/html,
"Organising cyber security in Australia and beyond","Journal Article","Smith, F., & Ingram, G. (2017). Organising cyber security in Australia and beyond. Informa UK Limited. https://doi.org/10.1080/10357718.2017.1320972 (Original work published)",,,85,d004fa4e-ba06-42e7-96ee-75906482149f,,"Civilian cybersecurity",,2017,"This article explains the origins and institutionalisation of cyber security in Australia—particularly ‘civilian cyber security’. The authors trace the origin of Australia’s first computer emergency response team and explain how this organisational form spread from the USA. Through it, Australia helped enable international cooperation. Domestically, however, the authors argue that the Australian government has struggled with the delegation, orchestration and abdication of responsibility for civilian cyber security, underinvesting in civilian organisations while overrelying on military and intelligence agencies. The history of this organisational field provides valuable insight into how to improve national policy and operations for cyber security.",,,,"Frank Smith, Graham Ingram",2017-05-16,10.1080/10357718.2017.1320972,,1035-7718,,,,,"Nor is the effectiveness of military and intelligence agencies for civilian cyber securityself-evident, especially given the importance of information-sharing and trust. Concen-trating resources in these agencies could undermine more advantageous norms as well.For instance, building on the CERT system, an international norm may be emergingthat ‘states should not conduct or knowingly support activity to harm the informationsystems of the authorized emergency response teams’, and ‘states should not use author-ized emergency response teams to engage in malicious international activity’ (UN 2015).",,,,,,https://www.tandfonline.com/doi/full/10.1080/10357718.2017.1320972?casa_token=HDq3L3YScMUAAAAA%3ANyjGeHEETKDETyHTfk3blRBwS9hrn86ig8kjfh-lMSaaFjbUSWPqu9G8MH0FIOIP82_j_IOt5F3ygA,
"Cybersecurity and cyber defence in the emerging democracies","Journal Article","Solar, C. (2020). Cybersecurity and cyber defence in the emerging democracies. Informa UK Limited. https://doi.org/10.1080/23738871.2020.1820546 (Original work published)",,,89,715fad39-b38f-41b4-9723-771a1195bc95,,"Civilian cybersecurity",,2020,"this article argues that in the emerging democracies, the military is on its way to being the dominant force controlling cyber centres or commands emulating those already established in the global North.",,,,"Carlos Solar",2020-09-01,10.1080/23738871.2020.1820546,,2373-8871,,,,,"There are three main takeaways from such developments when using the case study of the western hemisphere. First, states in the region have decided to manage their cyber affairs through inter-governmental and military-to-military diplomacy with more powerful states, such as the United States. Second, governments are eager to set up interactive policy communities at the national level to review cyber risks together with those in the defence sector. Third, militarising cyberspace in fragile political and policy settings can become somewhat risky for democratic governing. Ultimately, marrying the protection of the digital space to highly politicised armed forces might turn into a challenge when trying to set up a secure and egalitarian internet.",,,,,,https://www.tandfonline.com/doi/full/10.1080/23738871.2020.1820546,
"Risk, reputation and responsibility: Cybersecurity and centralized data in United States civilian federal agencies","Journal Article","Heeren-Moon, E. (2023). Risk, reputation and responsibility: Cybersecurity and centralized data in United States civilian federal agencies. Elsevier BV. https://doi.org/10.1016/j.telpol.2023.102502 (Original work published)",,,90,0a5d2d8e-e45b-44a8-bc53-2bbd5dc74460,,"Civilian cybersecurity",,2023,"The focus of this paper is the need for more administrative infrastructure to secure the proposed centralized data center defined in the Act and subsequent regulatory efforts.",,,,"Erika Heeren-Moon",2023-03,10.1016/j.telpol.2023.102502,,0308-5961,,,,,"The existing U.S. federal interagency cybersecurity policy and infrastructure modernization is too fragmented to effectively secure the centralized data initiatives delineated in Title III of the Foundations for Evidence-Based Policymaking Act of 2018. The lack of consideration for updating the federal interagency cybersecurity protocols demonstrates a missed opportunity and raises concerns regarding the risk for the new data structure. A proactive, standardized interagency cybersecurity and infrastructure modernization process for a data centralization policy is necessary to establish trust and reputation in government works, protect personal privacy, effectively balance ethics and economics in the federal sector, and generally act in the public good. By omitting the cybersecurity infrastructure from the regulation, the federal government is opening the door to potential catastrophe.",,,,,,https://www.sciencedirect.com/science/article/pii/S0308596123000137?casa_token=l8HhJFMmPMwAAAAA:QomtiAEAObrnAJ19QKMYH4iRWlS61FLrnSZwkpGpRz96Hj6bJfYF8aXu45uQ1FGVVtL9z0n4xt4,
"CYBERSECURITY IN CENTRAL EASTERN EUROPE: FROM IDENTIFYING RISKS TO COUNTERING THREATS","Journal Article","Tumkevič, A. (2016). CYBERSECURITY IN CENTRAL EASTERN EUROPE: FROM IDENTIFYING RISKS TO COUNTERING THREATS. Vilnius University Press. https://doi.org/10.15388/BJPS.2016.5.10337 (Original work published)",,,94,774edebf-10e0-4ad5-9e46-81a245ff0d78,,"Civilian cybersecurity",,2016,"States’  approaches  to  cybersecurity  can  be  divided  into  two  categories:  those  that  regard  cybersecurity  as  a  civilian  task;  and  those  that  involve  their  militaries  in  creating  or  implementing  cybersecurity  policies. Those states that have incorporated cyberwarfare into their military planning and organization perceive cyberattacks as a threat to their national security, while states that charge their civilian agencies with domestic cybersecurity missions classify cyber intrusions as security risks for only particular sectors. Adopting the framework of securitization theory, this article theorizes both civil and military approaches to cybersecurity and threat perceptions and their sources. The theoretical framework is then applied to a study of the cybersecurity policies of Central European countries and the Baltic States",,,,"Agnija Tumkevič",2017-01-17,10.15388/BJPS.2016.5.10337,,2335-2337,,,,,"The conclusions of this article, the categorisation of cybersecurity approaches as civil or militarized may lead to a better understanding of cybersecurity as a phenomenon. It could contribute to the explanation of obstacles for cooperation between states dealing with cybersecurity issues on the international level. Furthermore, the identification of different approaches to cybersecurity could explain specific state‘s actions in cyberspace. Understanding states’ differences in perceiving cyberthreats, referent objects, and potential adversaries constitutes a background to discussions of the so-called cyber-identities of states and non-governmental actors. This could be a useful theoretical tool for analysing potential cyber conflicts and cooperation patterns in further studies.",,,,,,https://www.zurnalai.vu.lt/BJPS/article/view/10337/0,
"Desecuritising cybersecurity: towards a societal approach","Journal Article","Burton, J., & Lain, C. (2020). Desecuritising cybersecurity: towards a societal approach. Informa UK Limited. https://doi.org/10.1080/23738871.2020.1856903 (Original work published)",,,95,a964cde6-e605-43af-b04c-0ad45f41e6a7,,"Civilian cybersecurity",,2020,"Drawing on the societal security concept established by the Copenhagen School of International Relations, we seek to reframe cybersecurity theory and policy. In the first section of the article we establish a theoretical approach to cybersecurity that emphasises the impact of cyberattacks on society, including on the health, energy and transport sectors. The second section draws on the history of cyberconflict to assess the ways the internet has been used to exacerbate societal tensions between identity groups and to create incohesion and societal security dilemmas. This section reinterprets the way the Kosovo War, Millennium (Y2 K) Bug, 9/11 and the WannaCry incident shaped and reflected cyber policy. The final section explores how a process of cyber desecuritisation might be achieved, including through discursive change and an enhanced role for the societal sector in the event of major cyberattacks.",,,,"Joe Burton, Clare Lain",2020-09-01,10.1080/23738871.2020.1856903,,2373-8871,,,,,"The theoretical implications of this article are worth closing with. A continued pre-disposition to view cybersecurity as an issue of national security exists in the literature.Theoretical frameworks that rely on identity, discourse and societal dynamics are stillunderdeveloped and underapplied to cybersecurity issues. Continuing to adapt andsupplement these frameworks with societal and socio-psychological analyses of thecauses and impact of cyberattacks is, in our view, one of the most important researchagendas in the still emerging cybersecurity discipline. We contend that the historicalevidence presented in this article has highlighted the lack of attention to theseissues and their general validity in understanding how the cybersecurity environmenthas evolved.",,,,,,https://www.tandfonline.com/doi/full/10.1080/23738871.2020.1856903,
"Cybersecurity Convergence: Digital Human and National Security","Journal Article","Reveron, D. S., & Savage, J. E. (2020). Cybersecurity Convergence: Digital Human and National Security. Elsevier BV. https://doi.org/10.1016/j.orbis.2020.08.005 (Original work published 2020)",,,100,f9632b4d-5954-4e6e-bf96-a9fa1d786833,,"Civilian cybersecurity",,2020,"Over the past decade, people everywhere have become as dependent on the virtual world for their daily activities as they are dependent on the physical world for human activities. Global fiber optic networks have enabled communication in an unprecedented manner, connecting people in unique ways, propelling global supply chains, and giving consumers access to a variety of data from around the world. The online world is threatened by interstate rivals that engage in influence operations, economic espionage, and intelligence gathering and criminal groups that steal identities, ransom data, and grow their enterprises. Insiders facilitate intrusions wittingly and unwittingly raising the importance of corporations’ roles in cybersecurity. This convergence between the virtual and physical worlds with the government and the corporate upends the entire frame of reference for national security, which is tilted toward physical attack and strict jurisdictional lines. As cybersecurity integrates further into U.S. national security, a new approach is needed to incorporate a human security construct at the user level. This article is adapted from their forthcoming book, Security in the Cyber Age from Georgetown University Press. The views expressed are their own.",,,,"Derek S. Reveron, John E. Savage",2020,10.1016/j.orbis.2020.08.005,,0030-4387,,,,,"The uncertainty is based on technological change, but also on how society integrates new technologies into political, social, economic, and national security practices. The Internet is no longer a luxury, but a digital necessity to participate in society. It increasingly demands government attention to make cyberspace safer and more secure by promoting digital human security.",,,,,,https://www.sciencedirect.com/science/article/pii/S0030438720300454?casa_token=ZKINOilyJKoAAAAA:eHMj68zsR4dqADXcJm3jJ_ajGJP8csc7yGeLHb67wT61DX7Y_Gs1IPBrLqt4p6bUCQ8bDdMDQq8,
"An Improvised Patchwork: Success and Failure in Cybersecurity Policy for Critical Infrastructure","Journal Article","Atkins, S., & Lawson, C. (2021). An Improvised Patchwork: Success and Failure in Cybersecurity Policy for Critical Infrastructure. Wiley. https://doi.org/10.1111/puar.13322 (Original work published)",,,101,e7796f28-f748-42d7-ae13-a46b71c01923,,"Civilian cybersecurity",,2021,"Qualitative analysis based on in-depth interviews with over 40 policymakers and senior private sector managers, as well as public documents, reveals considerable variation in how well this approach has worked in practice. The main predictors of policy success appear to be (a) the nature of the cyber threat to firms’ operations and (b) regulatory pressure on firms. However, other factors—such as the nature of intra-industry competition—also affect how well the current regime works in specific sectors. Our findings have implications for public administration on civilian cybersecurity, as well as ramifications for regulation in other policy domains.",,,,"Sean Atkins, Chappell Lawson",2021-01-24,10.1111/puar.13322,,0033-3352,,,,,"Evidence for Practice• Collaboration between business and government in cybersecurity is distinct from conventional public–private partnerships designed to address capital markets failures, in that it must be highly flexible andadaptive.• Cybersecurity policies should be tailored to critical infrastructure sectors or subsectors, to take into accountthe nature of industry competition, the size and complexity of the sector, and longstanding relationshipsbetween business and the government in the sector.• Government agencies that possess a strong historical relationship to their assigned sector, expertise incyber, and resources to help firms are better able than other lead agencies to build an effective cybersecuritypartnership with industry.• Irrespective of sector, collaboration between the government and private owner-operators of criticalinfrastructure requires a high level of trust, often built through personal relationships and then reinforcedthrough iterated interactions.",,,,,,https://onlinelibrary.wiley.com/doi/full/10.1111/puar.13322?casa_token=wTHZUd5IdvwAAAAA%3AAHjqZFyaGimFOJlGEhkUyNGffd8KBjXjJyjbIxcBLicOH-7Xg_FWPiToZk-iBxbJbaKmORr9AjtJs8JR,
"Relationship between Cyber Security and Civil Protection in the Greek Reality","Journal Article","Kalogiannidis, S., Paschalidou, M., Kalfas, D., & Chatzitheodoridis, F. (2023). Relationship between Cyber Security and Civil Protection in the Greek Reality. MDPI AG. https://doi.org/10.3390/app13042607 (Original work published)",,,103,ec2fe971-faac-4455-a991-249515c33095,,"Civilian cybersecurity",,2023,"The objective of the present study is to explore the role of cyber security in enhancing civil protection in Greek reality. Methodologically, the study has been based on a survey with a sample of 345 executives of IT companies in Greece by using a structured questionnaire. The basic results of the research study showed that cyber security technologies positively affect civil protection, cybercrime reduction practices have a positive influence on civil protection, and there is a significant relationship between the government’s role in cyber security and civil protection. Cybersecurity also may have a significant influence on the principles of emergency operations: prevention, mitigation, preparation, response, or emergency evacuation and recovery.",,,,"Stavros Kalogiannidis, Maria Paschalidou, Dimitrios Kalfas, Fotios Chatzitheodoridis",2023-02-17,10.3390/app13042607,,2076-3417,,,,,"The main conclusion from the study is that it is very important for public and private agencies in Greece, as well as in the rest of Europe, to embrace new emerging cybersecurity technologies to help enhance cyber security and civil protection. Potential vulnerabilities in cybersecurity pose substantial risks to the effectiveness and efficiency of such critical infrastructure and directly impact the functioning of states, economies, and societies.",,,,,,https://www.mdpi.com/2076-3417/13/4/2607,
"Cyberattacks, cyber threats, and attitudes toward cybersecurity policies","Journal Article","Snider, K. L. G., Shandler, R., Zandani, S., & Canetti, D. (2021). Cyberattacks, cyber threats, and attitudes toward cybersecurity policies. Oxford University Press (OUP). https://doi.org/10.1093/cybsec/tyab019 (Original work published)",,,104,d05057b7-071b-4f2e-b9ef-58c150b5b2dc,,"Civilian cybersecurity",,2021,"This study employs a controlled randomized survey experiment design to test the effect of exposure to lethal and nonlethal cyberattacks on support for different types of cybersecurity policies. One thousand twenty-two Israeli participants are exposed to scripted and simulated television reports of lethal or nonlethal cyberattacks against national infrastructure.",,,,"Keren L G Snider, Ryan Shandler, Shay Zandani, Daphna Canetti",2021-01-01,10.1093/cybsec/tyab019,,2057-2085,,,,,"Findings suggest that exposure to cyberattacks leads to greater support for stringent cybersecurity regulations, through a mechanism of threat perception. Results also indicate that different types of exposure relate to heightened support for different types of regulatory policies. People exposed to lethal cyberattacks tend to support cybersecurity policies that compel the government to alert citizens about cyberattacks. People who were exposed to nonlethal attacks, on the other hand, tend to support oversight policies at higher levels. More broadly, our research suggests that peoples’ willingness to accept government cybersecurity policies that limit personal civil liberties and privacy depends on the type of cyberattacks to which they were exposed and the perceptions associated with such exposure.",,,,,,https://academic.oup.com/cybersecurity/article/7/1/tyab019/6382745#406983997,
"Get off my cloud: cyber warfare, international humanitarian law, and the protection of civilians","Journal Article","Droege, C. (2012). Get off my cloud: cyber warfare, international humanitarian law, and the protection of civilians. Cambridge University Press (CUP). https://doi.org/10.1017/S1816383113000246 (Original work published)",,,108,85da74cb-46db-4d58-95d4-216d605bd1fa,,"Civilian cybersecurity",,2012,"The potential humanitarian impact of some cyber operations on the civilian population is enormous. It is therefore important to discuss the rules of international humanitarian law (IHL) that govern such operations because one of the main objectives of this body of law is to protect the civilian population from the effects of warfare. This article seeks to address some of the questions that arise when applying IHL – a body of law that was drafted with traditional kinetic warfare in mind – to cyber technology. The first question is: when is cyber war really war in the sense of ‘armed conflict’? After discussing this question, the article goes on to look at some of the most important rules of IHL governing the conduct of hostilities and the interpretation in the cyber realm of those rules, namely the principles of distinction, proportionality, and precaution.",,,,"Cordula Droege",2012-06,10.1017/S1816383113000246,,1816-3831,,,,,"With respect to all of these rules, the cyber realm poses a number of questions that are still open. In particular, the interconnectedness of cyber space poses a challenge to the most fundamental premise of the rules on the conduct of hostilities, namely that civilian and military objects can and must be distinguished at all times. Thus, whether the traditional rules of IHL will provide sufficient protection to civilians from the effects of cyber warfare remains to be seen. Their interpretation will certainly need to take the specificities of cyber space into account. In the absence of better knowledge of the potential effects of cyber warfare, it cannot be excluded that more stringent rules might be necessary.",,,,,,https://www.cambridge.org/core/journals/international-review-of-the-red-cross/article/abs/get-off-my-cloud-cyber-warfare-international-humanitarian-law-and-the-protection-of-civilians/72114EF6E71757FAB2B37E7DE918B2BB,
